Menu Category,Menu Item,City,Serve Size (g),Energy,Protein,Total Fat,Sat Fat,Trans Fat,Cholesterol,Total Carbohydrate,Total Sugars,Added Sugars,Sodium,Popularity,Price,Special Promotions,Local Favorites,Customer Ratings,Health Conscious,Sustainability Rating,Availability Hours
Drink Menu,Coca-Cola,Chennai,253.42,310.15,5.54,8.21,3.71,0.21,45.76,68.28,7.92,5.83,1329.17,8.81,9.22,Yes,No,7.31,Yes,9.17,Afternoon
Meal Menu,McCombo Meal,Pune,316.83,282.22,6.56,20.15,18.06,0.39,11.76,66.12,13.73,5.02,522.31,3.71,1.56,Yes,Yes,1.73,Yes,3.17,Evening
Drink Menu,Hot Chocolate,Delhi,139.94,411.43,23.72,29.19,2.2,0.86,38.11,51.74,1.19,3.88,863.32,5.81,1.07,Yes,No,9.1,No,8,Evening
Regular Menu,Filet-O-Fish,Ahmedabad,291.91,648.71,5.09,15.72,5.85,0.25,23.02,95.16,13.86,5.96,694.42,7.6,12.93,Yes,No,3.88,No,9.08,Afternoon
Meal Menu,Chicken Supreme Meal,Bangalore,183.23,299.62,22.66,22.83,7.89,0.53,10.26,35.39,1.42,2.28,856.23,5.11,12.15,Yes,No,5.27,No,9.67,Morning
Dessert Menu,Apple Pie,Bangalore,146.99,861.98,5.07,28.19,8.41,0.98,30.74,85.61,3.88,9.36,658.86,6.85,9.24,Yes,No,4.72,No,1.44,Morning
Meal Menu,Chicken Supreme Meal,Hyderabad,212.28,492.6,6.81,13.05,8.64,0.16,29.62,30.64,3.14,9.11,1254.8,1.11,13.93,No,No,5.69,No,6.05,Afternoon
Meal Menu,Veggie Deluxe Meal,Pune,83.05,520.64,16.21,23.96,4.11,0.54,44.03,90.69,1.39,5,1214.64,4.66,3.6,Yes,Yes,4.61,No,3.55,Evening
Drink Menu,Coca-Cola,Pune,221.23,217.72,7.81,10.3,5.15,0.3,27,92.33,9.75,7.4,1299.86,7.1,11.05,Yes,No,7.75,Yes,8.87,Morning
Dessert Menu,Vanilla Ice Cream,Chennai,159.79,682.46,23.62,22.52,18.52,0.09,42.49,33.81,9.11,8.96,823.44,2.56,10.31,Yes,No,9.27,Yes,1.2,Evening
Regular Menu,Spicy Paneer Wrap,Kolkata,88.51,741.39,18.84,38.49,13.4,0.26,34.37,119.71,15.47,3.94,449.63,8.91,10.94,Yes,Yes,2.15,Yes,7.47,Morning
Regular Menu,Green Chilli Aloo Naan,Pune,108.94,643.38,18.31,16.92,10.18,0.53,34.3,27.72,8.52,9.17,1467.19,3.84,13.35,Yes,Yes,4.76,No,3.21,Morning
Dessert Menu,Apple Pie,Delhi,263.93,494.82,20.17,8.81,9.69,0.11,10.02,48.73,12.17,9.2,567.8,9.7,9.4,No,No,1.6,Yes,5.5,Evening
Regular Menu,Spicy Paneer Wrap,Ahmedabad,280.84,306.11,18.32,18.52,11.46,0.37,23.83,115.11,2.43,6.99,736.41,2.4,5.55,No,Yes,6.45,Yes,9.91,Morning
Regular Menu,McSpicy™ Paneer Burger,Pune,263.78,668.98,5.03,33.44,3.7,0.67,35.93,74.67,18.03,5.94,357.02,4.85,6.72,Yes,No,6.52,Yes,2.55,Morning
Regular Menu,McVeggie™ Burger,Chennai,263.06,472.63,18.98,19.19,2.05,0.37,12.98,35.49,3.39,4.97,1242.55,9.2,5.04,No,No,9.73,Yes,6.34,Evening
Regular Menu,McChicken Burger,Kolkata,125.99,838.65,11.52,13.32,9.85,0.43,35.68,76.85,9.4,5.55,1305.23,3.61,6.51,No,Yes,4.63,Yes,7.36,Morning
Dessert Menu,Vanilla Ice Cream,Bangalore,291.88,608.28,21.41,11.88,12.53,0.03,38.77,85.81,8.9,4.34,1141.47,6.15,11.68,Yes,No,6.8,No,8.91,Afternoon
Drink Menu,Pepsi,Hyderabad,248.54,486.85,18.12,34.99,16.79,0.28,31.65,77.69,15.84,5.8,1068.86,2.37,14.86,No,No,1.22,No,6.02,Morning
Dessert Menu,Chocolate Sundae,Delhi,262.47,864.84,16.13,30.38,10.56,0.39,2.26,110.22,6.29,4.7,927.13,7.37,8.54,Yes,No,4.69,Yes,1.09,Morning
Dessert Menu,Chocolate Sundae,Kolkata,111.2,325.43,7.2,8.15,17.33,0.9,12.13,49.84,9.89,3.84,269.02,2.2,14.24,Yes,Yes,6.19,No,8.79,Morning
Regular Menu,McAloo Tikki Burger®,Chennai,337.42,335.37,18.61,9.52,1.01,0.31,32.18,52.96,3.03,5.93,1014.52,9.48,12,Yes,No,1.56,No,5.51,Morning
Dessert Menu,Apple Pie,Delhi,234.58,734.93,18.76,39.72,5.01,0.32,44.45,101.68,6.62,0.65,220.95,5.69,5.96,No,No,4.17,No,5.32,Morning
Meal Menu,McCombo Meal,Hyderabad,101.91,372.78,10.48,28.33,5.36,0.75,28.47,100.75,13.59,4.58,842.73,2.48,3.79,No,No,1.87,Yes,5.59,Evening
